comment_sen,score
希望尽快出游戏吧,3
只有一个游戏可以玩,3
国行勇士，前来报到。,3
还好，没有游戏卡，已经躺了一个多月了。,3
这价降的漂亮,3
还行吧，就是不能上e商店买到groove coaster有点可惜，希望国行尽早出，坐等二月13歌姬计划发售了,3
腾讯呀腾讯呀你可终于把广告改了，3星给你的知错能改的态度，但还是只有一个游戏,3
东西不错，运行速度流畅度稳定性都很好，就是后悔买了国行，锁区是真的烦，和朋友加不了好友不能联机，商店里就一款游戏，买个游戏还需要去网购是真的难受。这就是给三星的理由，没啥想说的了。,3
这么久了还不出游戏！还延长半年保修，一个游戏玩的坏吗&hellip;&hellip;但也没办法，只能等了&hellip;&hellip;还是相信腾讯的.,3
这个switch国行版咋评价呀？评价机器本身吗？反正就机器而言是新的，运行没问题就是好机器。但我运行机器是干嘛的呢... 总之目前上架的游戏只有一款《马里奥 U》，另外两款《马里奥赛车8》和《马里奥 奥德赛》在3月12号刚刚过审，就是这么个情况。虽说插卡可以玩，但DLC一类的扩展内容就别想了。,3
摇杆漂移的问题还是没解决,3
国行还是限制太多，不太方便。不推荐,3
闪退了一次  宝可梦剑盾联机不了，玩不动了。哎,2
有机器有啥用。。。。。木得游戏,3
物流给力没话说，就是左边遥感明显比右边要松一些不知道什么梗,3
"居然会买了这么贵的一块砖
唯一优点就是疫情期间也能这么快送货",3
看着还可以，只是两侧手柄有些松动，做工差了点！,3
只有一个游戏可以选择，花钱下载都没得游戏下，都怀疑是不是正品了。,2
开机后无法退货。。。但是，我不开机怎么知道好坏。。。,2
中奖了，屏幕小绿点，我该找谁？现在是体现国行优势时候了吧,2
"产品包装：封条没有封着被打开过，不过机子没啥问题。
外形外观：不错，就是右边手柄有点小晃动，问题不太大。",3
整体都好，就是只能玩一个游戏。花了2000买来的卡，全都无法联网，基本钱都白花了。,2
品控真的一般。屏幕分辨率不高，左边手柄有点松，屏幕有一处进灰，不过不明显。不想换货,3
主机外观没问题，但是内容有问题，只有一个游戏虽然买卡也能玩，但是后续的dlc和线上内容都体验不了，不推荐购买主机本体，手柄什么的配件应该没问题,3
一直都想拥有一台属于自己的switch，正好腾讯代理了国行，凭借对腾讯的信赖毫不犹豫的买下了，可是现如今国行玩家只能玩其他版本的游戏让国行勇士十分痛心！与其加钱买其他版本没有一个完整的游戏体验，不如放那里吃灰！对国行失望透顶，以后不会再相信TX,3
"流畅度：流畅
运行速度：快
稳定性：好
画面效果：不错
外形外观：很棒
产品包装：盒子上被压坏了一个指甲盖大小的洞，无伤大雅。
都很好，但是都圣诞节了，还是一个游戏，我买来是看腾讯视频的？？？而且价格也贵了，隔壁家圣诞节只要1700就能拿下你双十二还要2000？血亏。还是建议买日版。",2
客观的来说，第一次入手任天堂NS，算是小白了，不懂国行/日版/港版这些机器的差异，网上简单搜了下，国行机器保修方便，觉得蛮好就入手了一台。入手之后确实方便，机器很新，外观很好，还有马里奥试玩版。好了，后面我要说重点了&hellip;&hellip;&hellip;&hellip;后面就是没有然后了，然后&ldquo;国行&rdquo;机器商店里就一个马里奥，是的没看错，就一个游戏，拜托这是商店&hellip;&hellip;然后没了。我还买了200G-SD卡，想想都好笑，现在同款机器还在促销降价200块&hellip;&hellip;如果有朋友再买NS，我一定不会选择国行了。惊天大坑&hellip;&hellip;,2
快递速度慢得要死  客服也不理我 差评!,3
这个京东不仅给我送错地方了，态度还极差次日达的货物给我送了三天真的难受,2
说实话，买了非常后悔，买之前没做功课，就一个游戏，拆封后不能退，好几个月了也不见有新游戏上架，买前一定考虑好,2
包装一个角有破损. 并且.第一天卖和第二天卖完全两个待遇？ 第一天买的没卡 第二天有卡？ 这么做事不合适吧？差评,2
说实话买来后悔了，游戏太少了，官方也不提示什么时候出新游戏，现在就一款马里奥游戏，虽然可以卡带。。没买的人还是在观望观望吧。,2
"稳定性：不想多说啥，第一次给差评！
买回来1个半月，玩了1个月宝可梦盾，抓了200只左右，突然今天黑屏了，怎么也开不了机，充电了也没反应，真的变成一块砖！气啊！",2
建议不要买国行，日版 港版 随意购买，国行只能插卡，没游戏，买了just dance2020 不能更新歌曲库，只有几首歌，觉得无聊，我是第一次接触ns的用户，体验很差*,2
作为一个买之前啥攻略也不看的国航勇士 建议大家千万不要买 国行出了也好几个月了 商店里只有一款游戏 每每玩上一个游戏觉得过瘾 最终总会发现自己玩的是阉割版 因为国行的商店不能买DLC 失去了很多娱乐性 要买就买港行日航 就国行那一两年的保修期 真的还不够用来等出游戏的 一定不要买 一定,2
本来支持一波国产的，但与预期的相差甚远，只有一个游戏，虽然广告单上写着随后会上新游戏，但说句难听话，国产游戏机要是爆死的话，这游戏机就砸到手里了，算了！已经拆封了，不可退换已经砸手里了。,3
国行就是**，我一萌新都受不了，完全没有游戏玩，还不能下数字游戏非得买卡，后悔了，真该买港版的，**货啊，只能买游戏卡玩单机，我都想出了谁要卖给谁，换港版去,3
"腾讯的封条直接半开的，怀疑二手。。。不过里面东西没问题。也不想没拆获得，开机红正常。就懒的换了
商店游戏只有一个，只能国内玩家联网。。。目前我也就玩塞尔达，直接买卡带了。也希望尽快搞起来啊。别国行勇士，没几天直接烈士了。。。",3
劝大家等一等，现在买了和板砖一样。一共一个游戏索然无味，买了卡带dcl不能用。只能等国行卡带出来，审核不等个一年半载能出来？花这么多钱为了看tx**？要么等一等，要么日版港版。国行买来拆了就不能退了，想赌的话可以来一手，要么真香要么tx**播放器，反正我是后悔了。早知道多花一点钱买个日版了,3
其他都还可以，但是没用几天左边就松了,2
运行速度：没什么好说的，除了物流满分，国行目前就是砖头，不想玩了，有意收的~,2
收到之后才知道，偌大个~企业，ns商店里只有一款马里奥游戏&hellip;&hellip;也不知道别的游戏卡能用不，也不敢试啊&hellip;&hellip;早知道这样买破解版了&hellip;&hellip;拆封还退不了&hellip;&hellip;日了个仙人板板&hellip;&hellip;快出游戏啊快出游戏啊快出游戏啊快出游戏啊,2
流畅度：很好运行速度：很棒稳定性：也不错画面效果：很棒产品包装：都破了第一次买国服的，只有失望，期望的啥也没有。出去，只能玩~家的游戏，然而，塞尔达游戏卡也不能更新，我不知道该说啥，~是不是该给国服玩家一点解释，你们自己看视频吧,3
机器没的说，虽不如PSxbx等豪华硬件配置，但买switch是冲着便捷性和游戏娱乐性去的，结果，国行我#就一个游戏，天天刷新商店都那一个游戏??。。我不是小朋友啦，我不要玩马里奥。。还是丢一边先吃灰吧。。。等~爸爸快马加鞭上架游戏,3
